1, slow.c, -O0, 1, 0.6000 sec
1, slow.c, -O0, 2, 1.0456 sec
1, slow.c, -O0, 3, 7.6383 sec
1, slow.c, -O0, 4, 1.5635 sec
1, slow.c, -O0, 5, 1.3303 sec
1, slow.c, -O0, 6, 1.6685 sec
1, slow.c, -O0, 7, 1.6639 sec
1, slow.c, -O0, 8, 1.7351 sec
1, slow.c, -O0, 9, 1.7949 sec
1, slow.c, -O0, 10, 2.1093 sec
1, slow.c, -O0, 11, 1.9763 sec
1, slow.c, -O0, 12, 2.0580 sec
1, slow.c, -O1, 1, 0.6144 sec
1, slow.c, -O1, 2, 1.3205 sec
1, slow.c, -O1, 3, 6.3336 sec
1, slow.c, -O1, 4, 1.7706 sec
1, slow.c, -O1, 5, 1.2140 sec
1, slow.c, -O1, 6, 1.6601 sec
1, slow.c, -O1, 7, 1.6933 sec
1, slow.c, -O1, 8, 1.7665 sec
1, slow.c, -O1, 9, 2.0897 sec
1, slow.c, -O1, 10, 2.0570 sec
1, slow.c, -O1, 11, 2.1296 sec
1, slow.c, -O1, 12, 2.1569 sec
1, slow.c, -O2, 1, 0.6289 sec
1, slow.c, -O2, 2, 0.9302 sec
1, slow.c, -O2, 3, 7.2459 sec
1, slow.c, -O2, 4, 1.5946 sec
1, slow.c, -O2, 5, 1.3120 sec
1, slow.c, -O2, 6, 1.6532 sec
1, slow.c, -O2, 7, 1.7015 sec
1, slow.c, -O2, 8, 1.7543 sec
1, slow.c, -O2, 9, 2.0722 sec
1, slow.c, -O2, 10, 2.2016 sec
1, slow.c, -O2, 11, 2.1023 sec
1, slow.c, -O2, 12, 1.9747 sec
1, slow.c, -O3, 1, 0.7084 sec
1, slow.c, -O3, 2, 1.1575 sec
1, slow.c, -O3, 3, 4.3412 sec
1, slow.c, -O3, 4, 1.7565 sec
1, slow.c, -O3, 5, 1.2268 sec
1, slow.c, -O3, 6, 1.8348 sec
1, slow.c, -O3, 7, 1.6884 sec
1, slow.c, -O3, 8, 1.8968 sec
1, slow.c, -O3, 9, 1.6669 sec
1, slow.c, -O3, 10, 2.0191 sec
1, slow.c, -O3, 11, 1.9918 sec
1, slow.c, -O3, 12, 2.0650 sec
1, slow.c, -Ofast, 1, 0.6304 sec
1, slow.c, -Ofast, 2, 1.3368 sec
1, slow.c, -Ofast, 3, 5.7629 sec
1, slow.c, -Ofast, 4, 1.5847 sec
1, slow.c, -Ofast, 5, 1.3273 sec
1, slow.c, -Ofast, 6, 1.7309 sec
1, slow.c, -Ofast, 7, 1.7121 sec
1, slow.c, -Ofast, 8, 1.7666 sec
1, slow.c, -Ofast, 9, 1.8884 sec
1, slow.c, -Ofast, 10, 2.1179 sec
1, slow.c, -Ofast, 11, 2.0400 sec
1, slow.c, -Ofast, 12, 2.1444 sec
1, slow.c, -Os, 1, 0.6188 sec
1, slow.c, -Os, 2, 1.1966 sec
1, slow.c, -Os, 3, 7.4454 sec
1, slow.c, -Os, 4, 1.8300 sec
1, slow.c, -Os, 5, 1.2075 sec
1, slow.c, -Os, 6, 1.7208 sec
1, slow.c, -Os, 7, 1.6468 sec
1, slow.c, -Os, 8, 1.8015 sec
1, slow.c, -Os, 9, 1.7722 sec
1, slow.c, -Os, 10, 1.8683 sec
1, slow.c, -Os, 11, 1.8989 sec
1, slow.c, -Os, 12, 1.9248 sec
1, fast.c, -O0, 1, 0.1713 sec
1, fast.c, -O0, 2, 0.0722 sec
1, fast.c, -O0, 3, 0.0497 sec
1, fast.c, -O0, 4, 0.0374 sec
1, fast.c, -O0, 5, 0.0344 sec
1, fast.c, -O0, 6, 0.0311 sec
1, fast.c, -O0, 7, 0.0266 sec
1, fast.c, -O0, 8, 0.0243 sec
1, fast.c, -O0, 9, 0.0304 sec
1, fast.c, -O0, 10, 0.0289 sec
1, fast.c, -O0, 11, 0.0274 sec
1, fast.c, -O0, 12, 0.0297 sec
1, fast.c, -O1, 1, 0.0403 sec
1, fast.c, -O1, 2, 0.0121 sec
1, fast.c, -O1, 3, 0.0075 sec
1, fast.c, -O1, 4, 0.0059 sec
1, fast.c, -O1, 5, 0.0065 sec
1, fast.c, -O1, 6, 0.0055 sec
1, fast.c, -O1, 7, 0.0050 sec
1, fast.c, -O1, 8, 0.0050 sec
1, fast.c, -O1, 9, 0.0051 sec
1, fast.c, -O1, 10, 0.0046 sec
1, fast.c, -O1, 11, 0.0048 sec
1, fast.c, -O1, 12, 0.0046 sec
1, fast.c, -O2, 1, 0.0000 sec
1, fast.c, -O2, 2, 0.0000 sec
1, fast.c, -O2, 3, 0.0001 sec
1, fast.c, -O2, 4, 0.0001 sec
1, fast.c, -O2, 5, 0.0001 sec
1, fast.c, -O2, 6, 0.0001 sec
1, fast.c, -O2, 7, 0.0002 sec
1, fast.c, -O2, 8, 0.0002 sec
1, fast.c, -O2, 9, 0.0002 sec
1, fast.c, -O2, 10, 0.0002 sec
1, fast.c, -O2, 11, 0.0002 sec
1, fast.c, -O2, 12, 0.0003 sec
1, fast.c, -O3, 1, 0.0000 sec
1, fast.c, -O3, 2, 0.0001 sec
1, fast.c, -O3, 3, 0.0001 sec
1, fast.c, -O3, 4, 0.0001 sec
1, fast.c, -O3, 5, 0.0001 sec
1, fast.c, -O3, 6, 0.0001 sec
1, fast.c, -O3, 7, 0.0002 sec
1, fast.c, -O3, 8, 0.0002 sec
1, fast.c, -O3, 9, 0.0002 sec
1, fast.c, -O3, 10, 0.0002 sec
1, fast.c, -O3, 11, 0.0002 sec
1, fast.c, -O3, 12, 0.0002 sec
1, fast.c, -Ofast, 1, 0.0000 sec
1, fast.c, -Ofast, 2, 0.0001 sec
1, fast.c, -Ofast, 3, 0.0001 sec
1, fast.c, -Ofast, 4, 0.0001 sec
1, fast.c, -Ofast, 5, 0.0001 sec
1, fast.c, -Ofast, 6, 0.0001 sec
1, fast.c, -Ofast, 7, 0.0001 sec
1, fast.c, -Ofast, 8, 0.0002 sec
1, fast.c, -Ofast, 9, 0.0001 sec
1, fast.c, -Ofast, 10, 0.0002 sec
1, fast.c, -Ofast, 11, 0.0002 sec
1, fast.c, -Ofast, 12, 0.0002 sec
1, fast.c, -Os, 1, 0.0000 sec
1, fast.c, -Os, 2, 0.0001 sec
1, fast.c, -Os, 3, 0.0001 sec
1, fast.c, -Os, 4, 0.0001 sec
1, fast.c, -Os, 5, 0.0001 sec
1, fast.c, -Os, 6, 0.0001 sec
1, fast.c, -Os, 7, 0.0001 sec
1, fast.c, -Os, 8, 0.0001 sec
1, fast.c, -Os, 9, 0.0001 sec
1, fast.c, -Os, 10, 0.0001 sec
1, fast.c, -Os, 11, 0.0002 sec
1, fast.c, -Os, 12, 0.0002 sec
1, medium.c, -O0, 1, 0.1846 sec
1, medium.c, -O0, 2, 0.3277 sec
1, medium.c, -O0, 3, 0.3570 sec
1, medium.c, -O0, 4, 0.4280 sec
1, medium.c, -O0, 5, 0.8011 sec
1, medium.c, -O0, 6, 1.0450 sec
1, medium.c, -O0, 7, 0.9053 sec
1, medium.c, -O0, 8, 1.0855 sec
1, medium.c, -O0, 9, 0.9000 sec
1, medium.c, -O0, 10, 1.1187 sec
1, medium.c, -O0, 11, 1.0928 sec
1, medium.c, -O0, 12, 1.0914 sec
1, medium.c, -O1, 1, 0.1553 sec
1, medium.c, -O1, 2, 0.2354 sec
1, medium.c, -O1, 3, 0.3349 sec
1, medium.c, -O1, 4, 0.3246 sec
1, medium.c, -O1, 5, 0.8128 sec
1, medium.c, -O1, 6, 1.3203 sec
1, medium.c, -O1, 7, 0.9609 sec
1, medium.c, -O1, 8, 1.0182 sec
1, medium.c, -O1, 9, 0.9290 sec
1, medium.c, -O1, 10, 0.9922 sec
1, medium.c, -O1, 11, 1.0358 sec
1, medium.c, -O1, 12, 0.8967 sec
1, medium.c, -O2, 1, 0.1825 sec
1, medium.c, -O2, 2, 0.2361 sec
1, medium.c, -O2, 3, 0.2946 sec
1, medium.c, -O2, 4, 0.3244 sec
1, medium.c, -O2, 5, 0.7239 sec
1, medium.c, -O2, 6, 1.1467 sec
1, medium.c, -O2, 7, 0.8862 sec
1, medium.c, -O2, 8, 0.9077 sec
1, medium.c, -O2, 9, 0.9312 sec
1, medium.c, -O2, 10, 0.9760 sec
1, medium.c, -O2, 11, 0.9846 sec
1, medium.c, -O2, 12, 0.9456 sec
1, medium.c, -O3, 1, 0.1833 sec
1, medium.c, -O3, 2, 0.2359 sec
1, medium.c, -O3, 3, 0.2912 sec
1, medium.c, -O3, 4, 0.3150 sec
1, medium.c, -O3, 5, 0.7195 sec
1, medium.c, -O3, 6, 1.0878 sec
1, medium.c, -O3, 7, 0.7516 sec
1, medium.c, -O3, 8, 0.9750 sec
1, medium.c, -O3, 9, 0.8890 sec
1, medium.c, -O3, 10, 1.0349 sec
1, medium.c, -O3, 11, 0.9932 sec
1, medium.c, -O3, 12, 1.0069 sec
1, medium.c, -Ofast, 1, 0.1783 sec
1, medium.c, -Ofast, 2, 0.2373 sec
1, medium.c, -Ofast, 3, 0.3151 sec
1, medium.c, -Ofast, 4, 0.3627 sec
1, medium.c, -Ofast, 5, 0.6888 sec
1, medium.c, -Ofast, 6, 1.1387 sec
1, medium.c, -Ofast, 7, 0.9570 sec
1, medium.c, -Ofast, 8, 1.0057 sec
1, medium.c, -Ofast, 9, 0.9111 sec
1, medium.c, -Ofast, 10, 0.9882 sec
1, medium.c, -Ofast, 11, 0.8356 sec
1, medium.c, -Ofast, 12, 0.9063 sec
1, medium.c, -Os, 1, 0.1794 sec
1, medium.c, -Os, 2, 0.2423 sec
1, medium.c, -Os, 3, 0.3341 sec
1, medium.c, -Os, 4, 0.3447 sec
1, medium.c, -Os, 5, 0.5966 sec
1, medium.c, -Os, 6, 0.7326 sec
1, medium.c, -Os, 7, 0.7676 sec
1, medium.c, -Os, 8, 0.9183 sec
1, medium.c, -Os, 9, 0.8347 sec
1, medium.c, -Os, 10, 0.8409 sec
1, medium.c, -Os, 11, 0.8899 sec
1, medium.c, -Os, 12, 0.8881 sec
2, slow.c, -O0, 1, 0.6108 sec
2, slow.c, -O0, 2, 1.0296 sec
2, slow.c, -O0, 3, 6.0338 sec
2, slow.c, -O0, 4, 1.8176 sec
2, slow.c, -O0, 5, 1.3568 sec
2, slow.c, -O0, 6, 1.8421 sec
2, slow.c, -O0, 7, 1.9175 sec
2, slow.c, -O0, 8, 1.7108 sec
2, slow.c, -O0, 9, 1.8031 sec
2, slow.c, -O0, 10, 1.9864 sec
2, slow.c, -O0, 11, 2.0204 sec
2, slow.c, -O0, 12, 2.2574 sec
2, slow.c, -O1, 1, 0.6679 sec
2, slow.c, -O1, 2, 1.2308 sec
2, slow.c, -O1, 3, 4.5040 sec
2, slow.c, -O1, 4, 1.7863 sec
2, slow.c, -O1, 5, 1.2503 sec
2, slow.c, -O1, 6, 1.7532 sec
2, slow.c, -O1, 7, 1.7190 sec
2, slow.c, -O1, 8, 1.6782 sec
2, slow.c, -O1, 9, 1.6981 sec
2, slow.c, -O1, 10, 1.9422 sec
2, slow.c, -O1, 11, 2.1839 sec
2, slow.c, -O1, 12, 1.8431 sec
2, slow.c, -O2, 1, 0.5972 sec
2, slow.c, -O2, 2, 1.2426 sec
2, slow.c, -O2, 3, 6.6175 sec
2, slow.c, -O2, 4, 1.8909 sec
2, slow.c, -O2, 5, 1.3279 sec
2, slow.c, -O2, 6, 1.7019 sec
2, slow.c, -O2, 7, 1.7198 sec
2, slow.c, -O2, 8, 1.6897 sec
2, slow.c, -O2, 9, 1.5602 sec
2, slow.c, -O2, 10, 1.9224 sec
2, slow.c, -O2, 11, 2.0130 sec
2, slow.c, -O2, 12, 2.1799 sec
2, slow.c, -O3, 1, 0.6287 sec
2, slow.c, -O3, 2, 1.7623 sec
2, slow.c, -O3, 3, 6.9035 sec
2, slow.c, -O3, 4, 1.9188 sec
2, slow.c, -O3, 5, 1.2908 sec
2, slow.c, -O3, 6, 1.7076 sec
2, slow.c, -O3, 7, 1.7090 sec
2, slow.c, -O3, 8, 1.7496 sec
2, slow.c, -O3, 9, 1.7805 sec
2, slow.c, -O3, 10, 1.9234 sec
2, slow.c, -O3, 11, 1.8173 sec
2, slow.c, -O3, 12, 2.1070 sec
2, slow.c, -Ofast, 1, 0.6027 sec
